symbol,date,price
French,Dec 1854,207666859.0
French,Dec 1855,203508777.0
French,Dec 1856,195968798.0
French,Dec 1857,229729605.0
French,Dec 1858,235461160.0
French,Dec 1859,244458970.0
French,Dec 1860,252522098.0
French,Dec 1861,265191700.0
French,Dec 1862,240734956.0
French,Dec 1863,224054225.0
French,Dec 1864,282116847.0
French,Dec 1865,232998074.0
French,Dec 1866,252444218.0
French,Dec 1867,242191370.0
French,Dec 1868,219515738.0
French,Dec 1869,222477410.0
French,Dec 1870,173980840.0
French,Dec 1871,89021034.0
French,Dec 1872,182912865.0
French,Dec 1873,164574092.0
French,Dec 1874,177860250.0
French,Dec 1875,201687745.0
French,Dec 1876,195518097.0
French,Dec 1877,191235387.0
French,Dec 1878,209606165.0
French,Dec 1879,199179747.0
French,Dec 1880,213515981.0
French,Dec 1881,206940985.0
French,Dec 1882,217079992.0
French,Dec 1883,211452289.0
French,Dec 1884,224951872.0
French,Dec 1885,207809452.0
French,Dec 1886,190831102.0
French,Dec 1887,211758081.0
French,Dec 1888,219109713.0
French,Dec 1889,235875198.0
French,Dec 1890,207972704.0
French,Dec 1891,205672070.0
French,Dec 1892,210581619.0
French,Dec 1893,223433173.0
French,Dec 1894,234262669.0
French,Dec 1895,219707614.0
French,Dec 1896,241507778.0
French,Dec 1897,218448420.0
French,Dec 1898,231174180.0
French,Dec 1899,213698953.0
French,Dec 1900,258250383.0
French,Dec 1901,240130264.0
French,Dec 1902,237830351.0
French,Dec 1903,253203371.0
French,Dec 1904,258192590.0
French,Dec 1905,262028832.0
French,Dec 1906,253620389.0
French,Dec 1907,256016601.0
French,Dec 1908,285131929.0
French,Dec 1909,165485697.0
French,Dec 1910,167010641.0
French,Dec 1911,172184266.0
French,Dec 1912,179922666.0
French,Dec 1913,167513728.0
French,Dec 1914,132120474.0
French,Dec 1915,58247638.0
French,Dec 1916,80296991.0
French,Dec 1917,86151950.0
French,Dec 1918,79819626.0
French,Dec 1919,89791930.0
French,Dec 1920,120874177.0
French,Dec 1921,126395510.0
French,Dec 1922,131437326.0
French,Dec 1923,145526536.0
French,Dec 1924,126596078.0
French,Dec 1925,142512211.0
French,Dec 1926,144358014.0
French,Dec 1927,153725760.0
French,Dec 1928,144465812.0
French,Dec 1929,154555119.0
French,Dec 1930,158812802.0
French,Dec 1931,155192483.0
French,Dec 1932,146639316.0
French,Dec 1933,143036292.0
French,Dec 1934,135433803.0
French,Dec 1935,133209368.0
French,Dec 1936,131952456.0
French,Dec 1937,121751156.0
French,Dec 1938,129878643.0
French,Dec 1939,104629221.0
French,Dec 1940,69217251.0
French,Dec 1941,65812077.0
French,Dec 1942,61286366.0
French,Dec 1943,71404006.0
French,Dec 1944,81987036.0
French,Dec 1945,107411947.0
French,Dec 1946,145999115.0
French,Dec 1947,168847410.0
French,Dec 1948,150452312.0
French,Dec 1949,143718210.0
French,Dec 1950,160919759.0
French,Dec 1951,135643350.0
French,Dec 1952,138774489.0
French,Dec 1953,150775507.0
French,Dec 1954,153639784.0
French,Dec 1955,165844143.0
French,Dec 1956,171077896.0
French,Dec 1957,170748278.0
French,Dec 1958,190825671.0
French,Dec 1959,224810655.0
French,Dec 1960,246812172.0
French,Dec 1961,252710141.0
French,Dec 1962,276322965.0
French,Dec 1963,257492806.0
French,Dec 1964,252645697.0
French,Dec 1965,265451634.0
French,Dec 1966,286595560.0
French,Dec 1967,333058373.0
French,Dec 1968,382399920.0
French,Dec 1969,359413225.0
French,Dec 1970,346050845.0
French,Dec 1971,291729276.0
French,Dec 1972,286824349.0
French,Dec 1973,290040502.0
French,Dec 1974,293998865.0
French,Dec 1975,297842838.0
French,Dec 1976,311608478.0
French,Dec 1977,323606843.0
French,Dec 1978,306680377.0
French,Dec 1979,319448448.0
French,Dec 1980,355495371.0
French,Dec 1981,284134490.0
French,Dec 1982,305182333.0
French,Dec 1983,296839571.0
French,Dec 1984,323667508.0
French,Dec 1985,305951715.0
French,Dec 1986,288226363.0
French,Dec 1987,295726924.0
French,Dec 1988,313301424.0
French,Dec 1989,356258470.0
French,Dec 1990,333968836.0
French,Dec 1991,324819634.0
French,Dec 1992,354278818.0
French,Dec 1993,365295307.0
French,Dec 1994,357351177.0
French,Dec 1995,367280339.0
French,Dec 1996,365867416.0
French,Dec 1997,411618485.0
French,Dec 1998,429953667.0
French,Dec 1999,482503013.0
French,Dec 2000,697260168.0
Russian,Dec 1850,8162033.0
Russian,Dec 1851,7432532.0
Russian,Dec 1852,10006273.0
Russian,Dec 1853,9592948.0
Russian,Dec 1854,8844777.0
Russian,Dec 1855,10047825.0
Russian,Dec 1856,9595024.0
Russian,Dec 1857,16061755.0
Russian,Dec 1858,18984177.0
