date,Philosopy Social Science,Culture and Education,Literature and Art,Natural Science and S&T,For Children,General Books
2014,1937.54,2211.28,1431.67,2716.90,689.53,3601.45
2013,1632.33,1998.77,1998.97,3250.18,476.91,2697.49 
2012,1861.68,2420.40,1861.16,3593.28,440.31,3531.16 
2011,2476.69,2037.88,1690.11,3414.30,629.25,1418.68 
2010,1606.47,1745.86,1271.30,3478.77,375.30,924.31  
2009,1856.34,1060.60,1033.85,3232.88,428.92,704.05  
2008,1728.55,1005.08,977.84 ,3363.06,414.94,665.77  
