date,English,French,Spanish,Russian,German,Chinese,Hebrew
1912,1264175253,179922666,80685824,69553399,189039320,157716,1681721
1911,1213366639,172184266,78944569,63104534,179492608,8063,2196192
1910,1199425780,167010641,114711000,44198248,179719592,1327,1032896
1909,1163646985,165485697,54825161,45053238,178682529,190251,672626
1908,1315037632,285131929,98403399,92288462,297450300,101500,3910658
1907,1316581524,256016601,94049675,88271193,289562636,40113,1963385
1906,1285110265,253620389,92527113,120719237,283962612,54199,1205575
1905,1296062576,262028832,93283450,97602378,275635009,19287,3802967
1904,1317638262,258192590,82677342,109612590,250666053,35057,7245377
1903,1201034192,253203371,94178877,107716061,231677924,68417,3397405
1902,1212110601,237830351,93782239,93772002,220986451,5396,3930214
1901,1202913367,240130264,89232728,87769898,200809110,7248,5012886
1900,1194673434,258250383,87143023,90823969,187167741,37978,4158696
1899,1146173920,213698953,83732308,80323233,166749361,67254,8256224
1898,1010935409,231174180,61601025,93700425,163562631,24803,4101009
1897,950528418,218448420,72263884,93117117,158667285,4941,2901995
1896,966235908,241507778,71924914,90197741,153701113,8363,3735160
1895,903394937,219707614,64107579,71697790,140665658,17772,2340754
1894,838387285,234262669,65152271,68149054,146991776,3194,2955148
1893,844690512,223433173,57833839,52017770,144899479,8517,3303969
1892,905321229,210581619,75329831,61287573,142536554,40781,1584839
1891,804904443,205672070,67813992,60866025,118414644,21442,2554700
1890,757961420,207972704,79624768,59685398,121393904,58536,1688624
1889,725314617,235875198,93620407,54398293,114256437,47577,1628340
1888,774619944,219109713,77497964,49179883,115235268,6646,1593654
1887,767504871,211758081,69004654,49429587,114571986,15879,3168269
1886,703449764,190831102,70147798,44154394,119621652,25931,4027433
1885,769081451,207809452,65531515,45086811,123374826,14934,2614590
1884,782538781,224951872,72329703,45732119,126325028,22905,1937672
1883,829235251,211452289,66188847,41443183,100476811,29737,2754662
1882,725802405,217079992,56985274,43238185,133204646,20250,1337978
1881,687759451,206940985,61277939,40499800,105690906,5539,2513992
1880,684000330,213515981,62137031,41907610,107890084,7403,2683691
1879,577626163,199179747,52683898,32934811,114466774,9475,2195221
1878,538814915,209606165,57798847,36631049,110977980,24911,2314464
1877,574104027,191235387,49111328,28605022,90718916,31224,2341857
1876,601999071,195518097,61772686,35494691,99484821,49759,2029042
1875,601244572,201687745,57046541,30920212,86731182,19811,2288344
1874,575300907,177860250,42250241,31023135,90056473,34996,2231372
1873,520267515,164574092,37742822,32678741,75562503,9218,1521174
1872,503182681,182912865,42398995,39396801,73983667,16307,1380189
1871,488849680,89021034,46294097,33124221,63301891,20320,1741580
1870,451706276,173980840,41010289,29495713,66005726,32733,1799729
1869,500425460,222477410,43728625,33914849,77687585,7494,1540484
1868,454334293,219515738,38432940,32455769,89525376,7415,4885533
1867,450242417,242191370,70147062,26512657,102793524,17672,1447815
1866,458351955,252444218,60601973,27902155,86797236,7588,4456851
1865,421998054,232998074,63505726,25309867,79342946,14094,1671947
1864,421881604,282116847,60477103,24583589,67356785,3064,2495173
1863,349935241,224054225,60338328,26449360,77308906,3845,1566753
