date,Philosopy Social Science,Culture and Education,Literature and Art,Natural Science and S&T,For Children,General Books
2014,1677.83,940.68 ,918.84 ,302.77,547.68,672.78 
2013,1750.25,1029.52,891.95 ,383.84,447.31,713.51 
2012,1222.09,1494.57,1269.97,428.58,632.49,1535.08
2011,752.50 ,571.18 ,650.66 ,345.88,280.61,675.77 
2010,826.18 ,552.61 ,601.51 ,345.93,264.86,641.03 
2009,686.62 ,549.30 ,471.85 ,303.37,127.73,823.16 
2008,690.78 ,419.86 ,494.14 ,155.95,87.58 ,1282.28
